lad24cd,reporting_year,households_on_register,jointly_managed_register,reasonable_preference,source
E07000171,2017,2595,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000171,2018,3326,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000171,2019,3493,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000171,2020,3910,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000171,2021,3687,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000171,2022,3903,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000171,2023,4492,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000171,2024,4908,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000171,2025,5342,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000022,2015,5662,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000022,2016,6093,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000022,2017,5755,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000022,2018,4084,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000022,2019,5138,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000022,2020,5590,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000022,2021,4871,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000022,2022,5482,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000022,2023,5313,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000022,2024,5872,,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000022,2025,6423,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000055,2015,1051,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000055,2016,1347,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000055,2017,1148,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000055,2018,1085,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000055,2019,1137,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000055,2020,1251,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000055,2021,1220,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000055,2022,1440,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000055,2023,1877,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000055,2024,2267,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000055,2025,2465,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E09000004,2015,4612,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E09000004,2016,5017,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E09000004,2017,6022,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E09000004,2018,6613,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E09000004,2019,6553,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E09000004,2020,6589,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E09000004,2021,6365,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E09000004,2022,6116,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E09000004,2023,1211,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E09000004,2024,1479,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E09000004,2025,1640,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E08000025,2015,16130,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E08000025,2016,15110,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E08000025,2017,12692,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E08000025,2018,6398,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E08000025,2019,12927,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E08000025,2020,14208,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E08000025,2021,17307,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E08000025,2022,21867,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E08000025,2023,20625,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E08000025,2024,23969,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E08000025,2025,25996,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000129,2015,697,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000129,2016,1032,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000129,2017,1926,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000129,2018,396,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000129,2019,622,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000129,2020,850,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000129,2021,836,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000129,2022,870,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000129,2023,733,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000129,2024,831,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000129,2025,908,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000008,2015,3942,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000008,2016,3401,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000008,2017,3026,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000008,2018,3381,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000008,2019,3462,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000008,2020,3723,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000008,2021,3939,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000008,2022,3407,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000008,2023,5416,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000008,2024,4689,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000008,2025,4490,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000009,2015,4162,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
